title,originalTitle,description,genre
Toy Story 3,,"Andy idzie na studia, a jego zabawki trafiają do przedszkola. Chudy wraz z przyjaciółmi robi wszystko, by się stamtąd wydostać i wrócić do domu.",Animacja / Familijny / Komedia
Bezsenność,Insomnia,Podczas pościgu za podejrzanym o morderstwo nastolatki policjant chory na bezsenność popełnia niewybaczalny błąd. ,Kryminał / Thriller
Mulan,,"Aby ratować ojca przed śmiercią na wojnie, Mulan ucieka z domu i przebrana za mężczyznę szkoli się w armii.",Animacja / Familijny / Przygodowy
Indiana Jones i Świątynia Zagłady,Indiana Jones and the Temple of Doom,Nieustraszony łowca przygód wyrusza na poszukiwanie świętego kamienia i mierzy się z członkami niebezpiecznej sekty. ,Przygodowy
Doskonały świat,A Perfect World,Uciekający z więzienia Butch porywa 7-letniego Phillipa. Rodzi się między nimi przyjaźń. ,Dramat
Złodziejka książek,The Book Thief,Czasy II wojny światowej. Mała Niemka trafia do rodziny zastępczej. Pocieszenie znajduje w czytaniu skradzionych książek. ,Dramat / Wojenny
Bridget Jones 3,Bridget Jones's Baby,"Bridget zachodzi w upragnioną ciążę. Problem tylko w tym, że nie wie, kto jest ojcem jej dziecka. ",Komedia rom.
Spacer po linie,Walk the Line,"Gwiazdy muzyki Johnny Cash i June Carter, pomimo przeciwności losu, starają się założyć rodzinę.",Biograficzny / Muzyczny
Gangster,Lawless,"Historia braci Bondurant, którzy utrzymują się z produkcji bimbru podczas prohibicji w USA. Kiedy odmawiają płacenia łapówek chciwemu prokuratorowi, w ich rodzinnym hrabstwie wybucha krwawy konflikt. ",Dramat / Gangsterski
Woda dla słoni,Water for Elephants,Po śmierci rodziców Jacob trafia do cyrku prowadzonego przez bezwzględnego Augusta. Wkrótce zakochuje się w jego żonie Marlenie. ,Melodramat
Kawa i papierosy,Coffee and Cigarettes,Jedenaście krótkich epizodów przedstawiających rozmowy przy kawie i papierosach.&nbsp;,Dramat / Komedia / Muzyczny
Kochanice króla,The Other Boleyn Girl,"Dwie siostry Boleyn, Anna i Maria, walczą o względy jednego mężczyzny - króla Henryka VIII.",Dramat historyczny
Lepiej późno niż później,Something's Gotta Give,"Harry spotyka się tylko z dużo młodszymi kobietami do czasu, aż poznaje Erikę, matkę jednej z nich. ",Dramat / Komedia / Romans
Wróg publiczny,Enemy of the State,Młody prawnik wchodzi w posiadanie dowodu zbrodni dokonanej przez rządowych agentów i staje się celem szpiegowskich ataków.,Sensacyjny
Strzelec,Shooter,Były snajper korpusu marines zostaje poproszony o ochronę prezydenta Stanów Zjednoczonych.,Sensacyjny
Znachor,,"Historia znanego chirurga Wilczura, którego opuszcza ukochana żona. Zrozpaczony lekarz zaczyna pić i wdaje się w burdę, co skutkuje utratą pamięci. ",Obyczajowy
Historia małżeńska,Marriage Story,"Po dziesięciu latach małżeństwo Nicole i Charliego zaczyna się rozpadać, gdy pojawiają się przed nimi nowe opcje kariery. ",Dramat / Komedia
Faworyta,The Favourite,"Pojawienie się na angielskim dworze nowej służącej Abigail zaczyna zagrażać pozycji&nbsp;lady Sary, która rządzi krajem w zastępstwie schorowanej królowej Anny.",Biograficzny / Historyczny
Przełamując fale,Breaking the Waves,"Sparaliżowany Jan zwalnia swoją żonę Bess z przysięgi wierności i chce, by ta kochała się z innymi mężczyznami. Kobieta spełnia jego prośbę. ",Dramat
Wściekły Byk,Raging Bull,"Życiorys Jake'a La Motty, zawodowego mistrza wagi średniej w boksie, który na ringu odznaczał się wyjątkową brutalnością i wolą walki. ",Biograficzny / Dramat
Żądło,The Sting,"Lata trzydzieste w USA. Dwóch przyjaciół, drobnych oszustów, postanawia zemścić się na wpływowym gangsterze za śmierć swojego przyjaciela. Wymyślają więc przekręt wszech czasów.&nbsp;",Komedia kryminalna
Chinatown,,Prywatny detektyw rozwiązuje wyjątkowo skomplikowaną sprawę rodziny Mulwrayów.&nbsp;,Kryminał / Film-Noir
Bodyguard Zawodowiec,The Hitman's Bodyguard,"Światowej klasy ochroniarz dostaje za zadanie zadbać o bezpieczeństwo zawodowego zabójcy, który zeznaje w Międzynarodowym Trybunale Karnym.",Komedia / Akcja
Ciche miejsce,A Quiet Place,"Pięcioosobowa rodzina stara się przetrwać w świecie pełnym potworów, które stanowią śmiertelne niebezpieczeństwo, a zwabia je najmniejszy hałas.",Horror / Sci-Fi
Shrek Forever,Shrek Forever After,"Życie Shreka popadło w rutynę; ot żona, dzieci i pieluchy. Tęskniąc za czasami, kiedy budził postrach wśród okolicznych wieśniaków, ogr kupuje od Rumpelstiltskina jeden beztroski dzień.",Animacja / Familijny / Komedia
Paterson,,"Kierowca autobusu prowadzi szczęśliwe życie u boku żony Laury, tworząc&nbsp;wiersze inspirowane zaobserwowanymi w pracy&nbsp;wydarzeniami. ",Dramat / Komedia
Rytuał,The Rite,"Młody diakon nie jest pewien swojego powołania. Trafia do Watykanu, gdzie pod okiem ekscentrycznego duchownego poznaje ciemną stronę Kościoła katolickiego.",Dramat / Horror
Motyl i skafander,Le scaphandre et le papillon,"Prawdziwa historia sparaliżowanego redaktora francuskiego czasopisma ""Elle"", który leżąc w szpitalu, próbuje za pomocą mrugnięć oka opisać swoje wspomnienia.",Biograficzny / Dramat
The Hurt Locker. W pułapce wojny,The Hurt Locker,"Elitarna jednostka saperów odbywa misję w Iraku. Nigdy nie wiadomo, kto okaże się wrogiem i gdzie ukryta jest kolejna bomba.",Dramat / Wojenny
E.T.,E.T. the Extra-Terrestrial,Pozostawiony przypadkowo na Ziemi kosmita zaprzyjaźnia się z małym Elliottem. Niezwykły przybysz próbuje wrócić do domu. ,Familijny / Przygodowy / Sci-Fi
Nigdy w życiu!,,Judyta po rozwodzie zaczyna budowę domu pod Warszawą i znajduje nową miłość. ,Obyczajowy / Komedia rom.
Motyl Still Alice,Still Alice,"Pani profesor odkrywa, że ma wczesne objawy choroby Alzheimera.",Dramat
Kamienie na szaniec,,"Trzech warszawskich maturzystów, Alek, Zośka i Rudy, planuje rozpocząć dorosłe życie. Ich plany burzy wybuch II wojny światowej.",Dramat / Wojenny
Legend,,"Lata 50. i 60. Londyńscy gangsterzy-bliźniacy, Ronald oraz Reginald Kray, terroryzują miasto. ",Biograficzny / Gangsterski
Resident Evil,,"Na terenie tajnego kompleksu badawczego zostaje uwolniony wirus, zamieniający żywe istoty w zombie. Grupa ocalałych stara się wydostać z wrogiego miejsca. ",Horror / Akcja
Dziewczyna z perłą,Girl With a Pearl Earring,"Opowieść o fascynacji XVII-wiecznego malarza Johannesa Vermeera młodą służącą, którą artysta uwiecznił na słynnym obrazie.",Dramat obyczajowy
Przebudzenie,Awake,"Clay ma piękną narzeczoną i szczęśliwe życie, ale okazuje się, że cierpi na chorobę serca. Musi poddać się operacji, której przebieg będzie bardzo nietypowy.",Thriller
"Poszukiwany, poszukiwana",,"Pracownik muzeum, oskarżony o kradzież obrazu, ukrywa się w przebraniu gosposi.",Komedia
Nie opuszczaj mnie,Never Let Me Go,"Kathy, Ruth i Tommy to przyjaciele, którzy dorastali w angielskiej szkole z internatem nazywanej Hailsham. Po latach ich drogi splatają się ponownie.",Melodramat / Sci-Fi
Obecność 2,The Conjuring 2,"Lorraine i Ed Warren udają się do północnej części Londynu, aby pomóc samotnej matce wychowującej czwórkę dzieci, której dom jest nawiedzany przez złośliwe duchy.",Horror
Porozmawiaj z nią,Hable con ella,"Dwóch mężczyzn czuwa przy pogrążonych w śpiączce ukochanych. Zaczynają opowiadać im przeróżne historie, co staje się dla nich walką z własną samotnością i rozpaczą.",Dramat
Wszystko gra,Match Point,Chris Wilton rezygnuje z kariery tenisisty i zostaje instruktorem w klubie dla bogaczy. Wkrótce żeni się z córką przemysłowego potentata i wdaje się w romans z seksowną Nolą.,Dramat / Thriller / Romans
Robin Hood,,W XIII-wiecznej Anglii Robin i jego banda stawiają czoła korupcji i prowadzą rebelię przeciwko skorumpowanemu królowi.,Dramat / Kostiumowy / Przygodowy
Człowiek ringu,Cinderella Man,"Historia legendarnego boksera z czasów Wielkiego Kryzysu, Jima Braddocka, który po latach wraca na ring.",Biograficzny / Dramat
Siódma pieczęć,Det sjunde inseglet,"Metaforyczna&nbsp;opowieść&nbsp;o rycerzu powracającym z wyprawy krzyżowej. Staje on w szachowym pojedynku ze Śmiercią, w którym stawką jest jego życie.",Dramat
Mandarynki,Mandariinid,"Jesień 1992 roku, Abchazja walczy o odłączenie się od Gruzji. Dwaj plantatorzy mandarynek znajdują rannych żołnierzy walczących po przeciwnych stronach. ",Dramat / Wojenny
25. godzina,25th Hour,"Nowojorski diler narkotyków ma 24 godziny, by pożegnać się z najbliższymi i odkryć, kto go wydał, nim trafi na siedem lat do więzienia.",Dramat / Kryminał
Upiór w operze,The Phantom of the Opera,Oszpecony geniusz muzyki zamieszkujący podziemia paryskiej opery zakochuje się w młodej śpiewaczce.,Melodramat / Musical
Z dystansu,Detachment,"Utalentowany pedagog unika przywiązywania się emocjonalnie do uczniów i kolegów z pracy. Poznaje trzy kobiety, dzięki którym jego podejście ulega zmianie.",Dramat
Sully,,"15 stycznia 2009 roku kapitan Chesley ""Sully"" Sullenberger ląduje uszkodzonym samolotem na rzece Hudson, ratując życie wielu osób. Wkrótce rozpoczyna się śledztwo mogące zniszczyć jego karierę. ",Biograficzny / Dramat
Co ty wiesz o swoim dziadku?,Dirty Grandpa,Mający niebawem się ożenić Jason zabiera swojego dziadka na przejażdżkę po Florydzie. ,Komedia
Powrót do przyszłości III,Back to the Future Part III,Doktor Brown przenosi się na Dziki Zachód do roku 1885. Po dziewięciu miesiącach zostaje zastrzelony. Na pomoc rusza mu Marty.,Komedia / Przygodowy / Sci-Fi
Jestem mordercą,,Młody milicjant otrzymuje zadanie schwytania seryjnego zabójcy kobiet. ,Thriller / Psychologiczny
Blue Jasmine,,"Przechodząca kryzys gospodyni domowa przeprowadza się z Nowego Jorku do San Francisco, gdzie ponownie nawiązuje kontakt ze swoją siostrą. ",Dramat
Bridget Jones: W pogoni za rozumem,Bridget Jones: The Edge of Reason,"Związek Bridget i Marka Darcy'ego jest bliski kryzysu. Na domiar złego na horyzoncie pojawia się były szef dziewczyny, Daniel Cleaver.",Komedia rom.
Warcraft: Początek,Warcraft,Pomiędzy rasami orków i ludzi wybucha krwawa wojna o terytorium.,Fantasy / Przygodowy
Żona na niby,Just Go with It,"Dr Danny Maccabee,&nbsp;chcąc&nbsp;uwieść młodziutką Palmer, prosi swoją asystentkę, aby udawała jego żonę.&nbsp;",Komedia rom.
Utalentowany pan Ripley,The Talented Mr. Ripley,"Tom Ripley zaprzyjaźnia się z bogatym Dickiem i nie zamierza wracać do szarego życia, które do tej pory prowadził. ",Dramat / Kryminał / Thriller
Robin Hood: Książę złodziei,Robin Hood: Prince of Thieves,"Po powrocie do Anglii Robin odkrywa, że stracił rodzinny majątek. Przyłącza się do bandy rzezimieszków z lasu&nbsp; Sherwood, wypowiadając wojnę bezwzględnemu szeryfowi Nottingham. ",Przygodowy
Ocean's 13,Ocean's Thirteen,"Danny Ocean wraz ze swoim gangiem postanawia pogrążyć finansowo i skompromitować bezwzględnego właściciela kasyn i hoteli, Willy'ego Banka.",Komedia kryminalna
Służby specjalne,,"Po likwidacji WSI do życia zostaje powołana nowa organizacja wywiadowcza. Wkrótce trójka jej członków zaczyna mieć wątpliwości, dla kogo tak naprawdę pracuje.",Sensacyjny
Ocean's Twelve: Dogrywka,Ocean's Twelve,"Ktoś wydaje gang Danny'ego Oceana Terry'emu Benedictowi, właścicielowi kasyn, które ci doszczętnie obrabowali trzy lata wcześniej.",Komedia kryminalna
Wszystko o mojej matce,Todo sobre mi madre,"Zrozpaczona po stracie syna Manuela wyrusza do Barcelony, aby odnaleźć jego ojca.",Dramat
Angielski pacjent,The English Patient,"Ciężko poparzony pilot samolotu, zestrzelonego przez Niemców nad Saharą, trafia pod opiekę kanadyjskiej pielęgniarki. Z majaczeń chorego człowieka, powoli wyłania się obraz jego przeszłości.",Melodramat / Wojenny
Most do Terabithii,Bridge to Terabithia,"Historia przyjaźni dwojga dzieci, które za leśnym strumieniem tworzą swój własny bajkowy świat.",Dramat / Fantasy / Przygodowy
Włoska robota,The Italian Job,"Grupa ekskluzywnych złodziei kradnie w Wenecji sejf ze sztabami złota. Kiedy akcja się udaje, jeden z nich próbuje wyeliminować resztę.",Sensacyjny
Anna Karenina,,Ekranizacja powieści Lwa Tołstoja. Historia tragicznej miłości Anny Kareniny i Aleksego Wrońskiego.,Kostiumowy / Melodramat
Najdłuższa podróż,The Longest Ride,"Losy dwóch par, które dzielą lata doświadczeń. Ich historie zbiegają się w nieoczekiwanym momencie. ",Dramat
Niezłomny,Unbroken,"Podczas II wojny światowej biegacz olimpijski, Louis Zamperini, zostaje wzięty do niewoli przez siły japońskie.",Biograficzny / Dramat / Wojenny
Plac Zbawiciela,,"Oparta na faktach opowieść o dramatycznych losach małżeństwa z dwójką dzieci, które znalazło się w finansowych tarapatach.",Dramat
X-Men: Ostatni bastion,X-Men: The Last Stand,Trzecia część ekranizacji komiksów o tytułowych mutantach. Bohaterowie stają przed wyborem – pozostać sobą czy skorzystać z wynalezionego właśnie lekarstwa cofającego mutację.&nbsp;,Akcja / Sci-Fi
King Kong,,"Lata 30. XX wieku. Bankrutujący reżyser i głodująca aktorka wyruszają na tajemniczą Wyspę Czaszki, by nagrać film swojego życia, ponieważ w Nowym Jorku panuje wielki kryzys. ",Fantasy / Melodramat / Przygodowy
Układ zamknięty,,"Oparta na faktach historia opowiada o trzech przedsiębiorcach, którzy wskutek zmowy zostali oskarżeni o działalność w grupie przestępczej. ",Thriller
Absolwent,The Graduate,Absolwent college'u nawiązuje romans ze starszą sąsiadką. Wkrótce zakochuje się w jej córce. ,Dramat obyczajowy
"Co nas kręci, co nas podnieca",Whatever Works,"Boris, ekscentryczny, starzejący się geniusz, zmienia się radykalnie pod wpływem 20-letniej Melody.",Komedia obycz.
Ścigany,The Fugitive,"Szanowany chirurg Richard Kimble zostaje oskarżony o morderstwo żony i skazany na śmierć. Gdy w drodze do więzienia ucieka, jego śladem rusza szeryf Samuel Gerard.",Sensacyjny
Noe: Wybrany przez Boga,Noah,"Biblijny Noe ma apokaliptyczne wizje potopu. Podejmuje działania, które mają uchronić jego rodzinę przed nadchodzącym kataklizmem. ",Dramat / Fantasy
Wstyd,Shame,"Brandon Sullivan nie potrafi znaleźć prawdziwej miłości. Sytuacja komplikuje się jeszcze bardziej, gdy wprowadza się do niego jego irytująca siostra. ",Dramat
Artysta,The Artist,"George Valentin, gwiazda kina niemego, nie może się pogodzić z udźwiękowieniem filmów. Zakochana w nim Peppy robi wszystko, by przełamać jego uprzedzenia. ",Dramat / Komedia / Romans
Bez litości,The Equalizer,"Uznany za zmarłego były żołnierz sił specjalnych wiedzie spokojne życie. Kiedy decyduje się pomóc Teri, wchodzi w konflikt z rosyjskimi gangsterami. ",Thriller
Pierwszy człowiek,First Man,"Fragment życia astronauty Neila Armstronga i jego legendarnej misji kosmicznej, dzięki której jako pierwszy człowiek stanął na Księżycu.",Biograficzny / Dramat
Assassin's Creed,,"Dzięki przełomowej technologii Callum Lynch doświadcza przygód swojego przodka, asasyna Aguilara, żyjącego w XV-wiecznej Hiszpanii. Wkrótce podejmuje walkę z potężnymi templariuszami. ",Przygodowy
22 Jump Street,,"Policjanci, Schmidt i Jenko, trafiają pod przykrywką do lokalnego college'u, gdzie czeka na nich kolejne zadanie.",Akcja / Komedia kryminalna
Co robimy w ukryciu,What We Do in the Shadows,"Viago, Deacon i Vladislav usiłują normalnie egzystować, mimo że są nieśmiertelnymi parusetletnimi wampirami, które żywią się ludzką krwią. ",Horror / Komedia / Dokumentalizowany
Dla niej wszystko,The Next Three Days,"Oddany mąż wkracza w niezwykle niebezpieczny świat i ryzykuje wszystko, by wyciągnąć z więzienia ukochaną żonę skazaną za morderstwo.",Dramat / Kryminał
Sinister,,"Autor powieści kryminalnych po przeprowadzce znajduje na strychu projektor ze starymi taśmami. Oglądając materiały, odkrywa szokującą prawdę o nowym domu i jego poprzednich mieszkańcach. ",Horror
Niezniszczalni 2,The Expendables 2,"Gdy podczas akcji ""Niezniszczalnych"" ginie jeden z członków grupy, pozostali postanawiają wyrównać rachunki i ukarać winnego. ",Akcja
Trener,Coach Carter,"Nowy trener koszykarskiej drużyny z Richmond zaczyna stosować kontrowersyjne metody, by przywrócić dyscyplinę w zespole. Niektórym zawodnikom wyraźnie się to nie podoba. ",Dramat / Sportowy
Polowanie na Czerwony Październik,The Hunt for Red October,"Radziecki atomowy okręt podwodny wypływa w swój pierwszy rejs. Jego dowódca ogłasza, że zamierza zdezerterować, co nie podoba się władzom ZSRR, które wysyłają za nim pościg.",Sensacyjny
Red,,"Emerytowani agenci specjalni CIA zostają wrobieni w zamach. By się ratować, muszą reaktywować stary zespół.",Komedia / Akcja
Alicja po drugiej stronie lustra,Alice Through the Looking Glass,"Alicja powraca do Krainy Czarów, by cofnąć się w czasie i pomóc Szalonemu Kapelusznikowi ocalić rodzinę.",Familijny / Fantasy / Przygodowy
Zombieland,,"Columbus i Tallahassee - dwaj mężczyźni, których różni prawie wszystko, znajdują sposób na przetrwanie w świecie opanowanym przez zombie. ",Horror / Komedia
Star Trek,,"Początki załogi USS Enterprise. James Kirk i Spock łączą siły, by ocalić swoich przyjaciół przed śmiertelnym niebezpieczeństwem.",Akcja / Sci-Fi
Człowiek słoń,The Elephant Man,"Cierpiący na rzadką chorobę mężczyzna, nazywany ""człowiekiem słoniem"", jest atrakcją cyrkową. Londyński medyk postanawia wykorzystać go do prezentacji naukowej. ",Biograficzny / Dramat
Szefowie wrogowie,Horrible Bosses,"Każdy z trzech przyjaciół ma szefa, którego nienawidzi. Wspólnie postanawiają ich wyeliminować.",Komedia kryminalna
Sex Story,No Strings Attached,"Emma i Adam są przyjaciółmi. Po tym jak spędzają ze sobą noc, zawierają umowę o seksie bez zobowiązań.",Komedia rom.
"Strasznie głośno, niesamowicie blisko",Extremely Loud &amp; Incredibly Close,"Oskar nie może pogodzić się z nieobecnością ojca, który zginął w zamachu na WTC. Chłopiec postanawia odnaleźć zamek, do którego posiada pozostawiony przez niego klucz. ",Dramat
Ghost in the Shell,,Policjantka cyborg próbuje odnaleźć niebezpiecznego hakera.,Thriller / Akcja / Sci-Fi
Sausage Party,,"Parówka wyrusza w podróż, aby dowiedzieć się prawdy o swoim pochodzeniu.",Komedia / Animacja dla dorosłych
Niepokonani,The Way Back,"Uciekinierzy z sowieckiego gułagu pokonują pieszo w morderczym mrozie i upale 6000 kilometrów, od Syberii do Indii.",Przygodowy / Dramat historyczny
Sąsiedzi,Neighbors,Małżeństwo mające małe dziecko natrafia na nieoczekiwane problemy z sąsiadującym obok studenckim bractwem. ,Komedia
Uprowadzona 2,Taken 2,Po uratowaniu córki w pierwszej części agent Bryan Mills wraz z żoną zostają uprowadzeni podczas wakacji w Stambule. Ich oprawcą jest ojciec chłopaka zamordowanego przez Millsa.,Sensacyjny
Colonia,,"Walczący o demokrację w Chile chłopak zostaje pojmany przez będący u władzy wojskowy reżim. Pragnąc go odzyskać, jego dziewczyna trafia na trop tajemniczej sekty.",Dramat
Spider-Man 2,,"Peter Parker jest zmęczony byciem bohaterem i chce zostać zwykłym chłopakiem. Gdy jednak Doktor Octavius przemienia się w złego doktora, Spider-Man staje z nim do walki.",Akcja / Sci-Fi
Looper - Pętla czasu,Looper,"Rok 2072. Przestępcy eliminują swoich przeciwników, wysyłając ich do przeszłości, gdzie mają być mordowani przez wynajętych zabójców. Jeden z nich dostaje zlecenie zabicia samego siebie z przyszłości.&nbsp;",Akcja / Sci-Fi
Ocalony,Lone Survivor,"Afganistan, 28 czerwca 2005 roku, czterech członków SEAL Team 10 otrzymuje zadanie zabicia lidera talibów. Niespodziewanie sami zostają otoczeni przez wroga i zaatakowani.",Dramat / Wojenny
Obłęd,The Jacket,"Niesłusznie oskarżony o morderstwo weteran wojenny z Iraku zostaje osadzony w zakładzie dla psychicznie chorych kryminalistów, gdzie jest poddawany eksperymentalnej terapii medycznej.",Dramat / Thriller
mother!,Mother!,"Idylliczny związek pewnego małżeństwa zostanie poddany testowi, gdy w ich domu pojawią się obcy mężczyzna i kobieta.&nbsp;",Horror / Psychologiczny
Merida Waleczna,Brave,"Księżniczka Merida, by uniknąć zamążpójścia, wyrusza w podróż. Spotyka wiedźmę, która za odpowiednią opłatą obiecuje jej pomóc.",Animacja / Familijny / Fantasy / Przygodowy
Lighthouse,The Lighthouse,"Historia dwóch strażników latarni morskiej, którzy w obliczu samotności powoli tracą zdrowie psychiczne, a wkrótce zaczynają&nbsp;im zagrażać ich własne najgorsze koszmary.",Dramat / Horror
American Pie: Zjazd absolwentów,American Reunion,"Dziesięć lat po skończeniu liceum czterech kumpli spotyka się na zjeździe absolwentów. Okazuje się, że ani czas, ani doświadczenia życiowe nie zmieniły ich nawyków.",Komedia
Wielkie oczy,Big Eyes,"Walter Keane przypisuje sobie autorstwo pięknych obrazów, które namalowała jego żona Margaret. Kobieta próbuje dowieść swoich racji i wyzwolić się od męża.",Biograficzny / Dramat
Amores perros,,"Przejmująca wielowątkowa opowieść o mieszkańcach Mexico City, którzy próbują zmienić swoje życie.",Dramat / Thriller
Droga,The Road,W post apokaliptycznej rzeczywistości ojciec i syn przemierzają zgliszcza dawnej Ameryki. Próbują zachować człowieczeństwo wśród pozbawionych zasad ludzi oraz grasujących gangów kanibali. ,Thriller / Sci-Fi
Skrzypek na dachu,Fiddler on the Roof,Ubogi mleczarz Tewje postanawia wydać za mąż piątkę swoich córek.,Dramat / Musical
Pakt z diabłem,Black Mass,"Oparta na faktach historia dwóch mężczyzn, którzy po kilkunastu latach spotykają się ponownie i zaczynają prowadzić wspólne interesy, co prowadzi do jednego z największych skandali w historii FBI. ",Dramat / Kryminał
Ściana,Pink Floyd The Wall,"Gwiazda rocka, Pink, nie potrafi zaakceptować otaczającego go świata. Kiedy trafia do jednego z hoteli w Los Angeles, zaczyna rozmyślać nad swoim życiem.",Dramat / Muzyczny / Animacja dla dorosłych
1917,,"Dwóch młodych żołnierzy - Schofield i Blake dostają rozkaz przedostania się za linie wroga, aby dostarczyć tajną wiadomość, która pozwoli brytyjskim żołnierzy uniknąć wpadnięcia w śmiertelną pułapkę.",Dramat / Wojenny
9 kompania,9 rota,Młodzi radzieccy żołnierze wyruszają na misję do Afganistanu. Ataki tamtejszych partyzantów mocno przerzedzają ich szeregi.,Dramat / Wojenny
Kingsman: Złoty Krąg,Kingsman: The Golden Circle,"Po ataku na siedzibę Kingsman Eggsy i Merlin udają się do Ameryki, by z pomocą siostrzanej organizacji Statesman schwytać sprawców zamachu.",Akcja / Komedia kryminalna
Milczenie,Silence,"XVII wiek. Do ogarniętej prześladowaniami i przemocą Japonii przybywają dwaj jezuiccy księża, którzy chcą odnaleźć dawnego mentora oraz głosić Słowo Boże. ",Dramat historyczny
Tajemnice Los Angeles,L.A. Confidential,"Los Angeles, rok 1953. Trzech działających niezależnie od siebie funkcjonariuszy policji próbuje rozwiązać sprawę wielokrotnego zabójstwa w nocnym barze. ",Kryminał / Thriller
Botoks,,"Losy czterech kobiet pracujących w służbie medycznej splatają się w szpitalu, gdzie dochodzi do wielu nielegalnych przedsięwzięć.",Thriller
Jestem numerem cztery,I Am Number Four,"Młody chłopak wraz ze swoim opiekunem ucieka z planety Lorien na Ziemię, aby wieść normalne życie.",Thriller / Akcja / Sci-Fi
Aleksander,Alexander,"Oparta na faktach opowieść o Aleksandrze Macedońskim, który w IV wieku p.n.e. podbił większość ówczesnego świata i stworzył imperium rozciągające się od Grecji aż po Indie.",Biograficzny / Dramat historyczny
"Saga ""Zmierzch"": Przed świtem. Część 2",The Twilight Saga: Breaking Dawn - Part 2,"Edward i Bella postanawiają bronić swojej córki Renesmee przed rodziną Volturi i oskarżeniami, iż pół-wampir pół-człowiek może być śmiertelnie niebezpieczny dla obu ras. ",Fantasy / Romans
Starcie tytanów,Clash of the Titans,"Perseusz, wychowany wśród ludzi syn Zeusa, wyrusza z wyprawą przeciwko Hadesowi, który chce sprowadzić na ziemię chaos.",Fantasy / Przygodowy
Początek,I Origins,"Biolog molekularny, u progu przełomu naukowego, podróżuje do Indii w poszukiwaniu dziewczyny, która może obalić lub potwierdzić jego teorię. ",Dramat / Sci-Fi
Watchmen. Strażnicy,Watchmen,"Rok 1985, ginie jeden z byłych superbohaterów. Jego przyjaciel stara się odnaleźć mordercę, pomimo że działalność zamaskowanych mścicieli została zakazana. ",Dramat / Akcja / Sci-Fi
Brzydka prawda,The Ugly Truth,"Chcąc udowodnić swoje szowinistyczne teorie, Mike namawia Abby, aby z nowym chłopakiem postępowała według jego porad. ",Komedia rom.
Volver,,"Matka dwóch córek powraca z zaświatów, by naprawić to, do czego doprowadziła za życia. ",Obyczajowy
Liga Sprawiedliwości,Justice League,"Jedni z największych superbohaterów na świecie tworzą Ligę Sprawiedliwości. Jej celem jest zwalczanie zagrożeń, które wykraczają poza ludzkie możliwości. ",Akcja / Sci-Fi
Trzy kolory: Niebieski,,Młoda wdowa po tragicznej śmierci męża i córki postanawia zerwać z przeszłością oraz żyć w odosobnieniu.,Melodramat / Psychologiczny
Ed Wood,,Pomimo braku talentu Ed Wood stawia swoje pierwsze kroki jako reżyser. Przy okazji nawiązuje znajomość z zapomnianym aktorem Belą Lugosim. ,Biograficzny / Dramat / Komedia
Moneyball,,"Manager Oakland Athletics, Billy Beane, postanawia zrezygnować z tradycyjnych metod prowadzenia drużyny i wykorzystać nowe analizy komputerowe.",Biograficzny / Dramat / Sportowy
Rambo: Pierwsza krew,First Blood,"John Rambo, były komandos, weteran wojny w Wietnamie, naraża się policjantom z pewnego miasteczka. Ci nie wiedzą, jak groźnym przeciwnikiem jest ten włóczęga. ",Dramat / Akcja
Zło,Ondskan,Erik trafia do elitarnego internatu. W nowym miejscu postanawia przeciwstawić się systemowi.,Dramat
Agentka,Spy,"Analityczka CIA zgłasza się na tajną misję, która ma zapobiec globalnej katastrofie.",Komedia / Akcja
Intruz,The Host,"Świat opanował niewidzialny wróg, który zajmuje ludzkie ciała i umysły. Dusza o imieniu Wagabunda&nbsp;zostaje umieszczona&nbsp;w&nbsp;ciele Melanie, dziewczyna nie zamierza jednak poddać się bez walki.",Thriller / Romans / Sci-Fi
Aquaman,,"Arthur Curry niechętnie stara się przejąć władzę w podwodnym królestwie Atlantydy, żeby zapobiec wojnie z ludźmi żyjącymi na powierzchni.",Akcja / Sci-Fi
Cloverfield Lane 10,10 Cloverfield Lane,"Po wypadku samochodowym młoda kobieta budzi się w piwnicy mężczyzny, który twierdzi, że uratował ją przed atakiem chemicznym.",Thriller / Sci-Fi
Frida,,Film opowiada o burzliwym romansie znanej malarki Fridy Kahlo z jej mentorem i mężem Diego Riverą.,Biograficzny / Dramat
Księżna,The Duchess,"XVIII-wieczna Anglia. Księżna Georgiana Cavendish wiedzie ekstrawaganckie, pełne politycznych i miłosnych intryg życie. Małżeństwo z księciem Devonshire przynosi jej sławę i uznanie, ale okazuje się też piekłem.",Kostiumowy / Dramat historyczny
Podwójne życie Weroniki,La Double vie de Véronique,"W Polsce i Francji żyją dwie dziewczyny, które nie wiedzą o sobie nawzajem, a mimo to łączy je magiczna więź. ",Dramat
Słodki listopad,Sweet November,"Sara poznaje Nelsona, który zostaje jej chłopakiem ""na listopad"". ",Dramat / Romans
August Rush,,"Historia muzycznie utalentowanego wychowanka domu dziecka, który wyrusza na poszukiwanie swoich rodziców.",Dramat / Muzyczny
Czas mroku,Darkest Hour,Winston Churchill zostaje premierem Wielkiej Brytanii. Jego pierwszym zadaniem jest zjednoczenie narodu w obliczu groźby inwazji nazistowskich Niemiec.,Biograficzny / Dramat
