title,description,genre
a very harold &amp; kumar 3d christmas,"Po wielu latach rozłąki Harold i Kumar spotykają się ponownie, siejąc zamęt w święta Bożego Narodzenia.",comedy
face/off,"By zlokalizować bombę w centrum Los Angeles, agent Sean Archer przyjmuje tożsamość zabójcy swojego syna.",thriller
koe no katachi,"Shouya Ishida w szkole podstawowej dokucza niesłyszącej dziewczynie. Po latach, kiedy sam doświadcza odtrącenia przez rówieśników z powodu swojego dawnego zachowania, postanawia wszystko naprawić.",drama
"honey, i shrunk the kids",Wynalazca konstruuje maszynę miniaturyzującą przedmioty. Przypadkowo pod jej wpływem do mikroskopijnej wielkości zostaje zmniejszona grupa nastolatków.,family
ma-nyeo,"Uczennica z amnezją próbuje odkryć, co się z nią stało. Wszystko to prowadziło ją do niebezpieczeństwa, ostatecznie ujawniając ciemność, której nie mogła sobie wyobrazić. ",thriller
lost in space,"Rodzina Robinsonów wyrusza w przestrzeń kosmiczną, by rozpocząć kolonizację nowej planety. Na skutek sabotażu misji trafiają do odległych, nieznanych rejonów wszechświata. ",adventure
machine gun preacher,Sam Childers stara się o utworzenie sierocińca w rozdartej wojną Afryce.&nbsp;,biography
the flintstones,"Fred Flinstone otrzymuje upragniony awans, co niekorzystnie wpływa na jego relacje z żoną i przyjaciółmi.",family
flee,"Prawdziwa historia Amina, który u progu małżeństwa jest zmuszony ujawnić swoją przeszłość. ",animation
post grad,"Świeżo upieczona absolwentka anglistyki, Ryden, jest zmuszona powrócić do rodzinnego domu i ekscentrycznej rodziny, która próbuje znaleźć jej pracę oraz odpowiedniego mężczyznę.&nbsp;",comedy
les douze travaux dasterix,"Juliusz Cezar zadaje Galom 12 prac podobnych do tych, które kiedyś były zadaniami Herkulesa. Od ich wykonania zależy rezultat wojny z rzymską potęgą. ",animation
far and away,"Joseph i Shannon uciekają z Irlandii do Ameryki, by rozpocząć lepsze życie. ",adventure
hhhh,Ambitny oficer SS Reinhard Heydrich obejmuje stanowisko zastępcy protektora Czech i Moraw. Ruch oporu znajduje sposób na ukrócenie jego krwawych rządów. ,biography
final fantasy: the spirits within,"Rok 2065. Dr Aki Ross stawia czoło Heinowi, który za wszelką cenę chce wykorzystać broń masowej zagłady. ",animation
cbgb,"Historia powstania nowojorskiego klubu CBGB, który w latach 80. XX wieku stał się mekką i przystanią dla grup punkrockowych oraz nowofalowych jak: Ramones, Blondie czy Talking Heads.",biography
les saveurs du palais,"Prawdziwa historia Hortense Laborie, mistrzyni kuchni, która zostaje osobistą kucharką prezydenta. Na szczytach władzy czeka na nią wiele pułapek.",biography
race to witch mountain,Taksówkarz z Las Vegas pomaga dwójce pasażerów obdarzonych paranormalnymi zdolnościami w odkryciu sekretu tajemniczej góry. ,adventure
the two faces of january,"Kiedy oszust finansowy, jego żona i nowo poznany student zostają wmieszani w morderstwo, wspólnie uciekają za granicę. ",thriller
the smurfs,"Smerfy, uciekając przed Gargamelem, przenoszą się do Nowego Jorku.&nbsp;",family
john carter,"Weteran wojny secesyjnej zostaje przeniesiony na Marsa. Chce wrócić do domu, jednak staje się uczestnikiem konfliktu między dwiema zamieszkującymi planetę rasami.",adventure
moznosti dialogu,"Głowy i figury nawiązują komunikację poprzez wzajemne pożeranie się, uprawianie miłości czy współpracę. ",fantasy
rambo,"John Rambo musi zmierzyć się z birmańskimi żołnierzami, którzy więżą chrześcijańskich misjonarzy. ",action
die groe stille," Dokument Philipa Gröninga jest pierwszym filmem przedstawiającym życie w Wielkiej Kartuzji, głównym klasztorze zakonu kartuzów we Francji. Film jest bardzo oszczędny w... ",documentary
the hobbit: the desolation of smaug,Bilbo Baggins i kompania krasnoludów pod dowództwem Thorina Dębowej Tarczy kontynuują marsz w kierunku Samotnej Góry. Tymczasem Gandalf sprawdza pogłoski o siłach zła zamieszkujących twierdzę Dol Guldur. ,fantasy
london fields,"Kiedy Nicola Six przewiduje własną śmierć, rozpoczyna romans z trzema różnymi mężczyznami, wiedząc, że jeden będzie jej mordercą.",crime
remember the titans,W okresie integracji rasowej lokalna drużyna futbolowa zatrudnia na stanowisku trenera czarnoskórego mężczyznę. Nie wszystkim podoba się ta decyzja.,biography
the last stand,Narkotykowy boss ucieka z konwoju i zmierza wprost ku granicy Meksyku. Jednak na drodze do upragnionej wolności staje szeryf oraz grupa jego niedoświadczonych zastępców.,action
lady and the tramp,"Po wyjeździe swoich właścicieli piękna suczka rasy cocker spaniel, Lady, wyrusza w świat razem z bezpańskim kundlem, Trampem.",animation
obitaemyy ostrov,"Maksym ląduje awaryjnie na nieznanej planecie, którą rządzą autorytarni władcy. Zaskoczony panującą niesprawiedliwością staje w obronie dyskryminowanych mieszkańców. ",adventure
le salaire de la peur,Grupa śmiałków wyrusza w podróż po bezdrożach Ameryki Południowej ze śmiertelnie niebezpiecznym ładunkiem nitrogliceryny. ,adventure
the angels share,"Robbie to chłopak z kryminalną przeszłością. Dzięki swojemu opiekunowi odkrywa w sobie talent do rozpoznawania smaków whisky. Postanawia to wykorzystać, by odmienić swoje życie.",drama
the life and death of peter sellers," ""Peter Sellers - Życie &amp; Śmierć"" to film zrealizowany na podstawie książki Rogera Lewisa. Przedstawia portret słynnego brytyjskiego aktora Petera Sellersa (Geoffrey... ",biography
i.t.,"Zamożny biznesmen chroni swoją rodzinę przed psychopatą, który nęka jego bliskich.",crime
enough said,"Rozwiedziona masażystka poznaje na przyjęciu mężczyznę o imieniu Albert i swoją przyszłą klientkę, Marianne. ",drama
jane austens mafia!,"Anthony, syn włoskiego gangstera, wspomina historię swojej rodziny.",comedy
the conjuring 2,"Lorraine i Ed Warren udają się do północnej części Londynu, aby pomóc samotnej matce wychowującej czwórkę dzieci, której dom jest nawiedzany przez złośliwe duchy.",horror
martha marcy may marlene,Po ucieczce z sekty nawiedzana przez bolesne wspomnienia młoda kobieta zamieszkuje ze swoją siostrą i szwagrem.,thriller
harry potter and the order of the phoenix,"Harry i jego przyjaciele zakładają tajne stowarzyszenie ""Gwardię Dumbledore'a"", aby przygotować się do starcia z Voldemortem.",family
fright night,"Nastoletni Charley odkrywa, że jego nowy sąsiad jest wampirem odpowiedzialnym za śmierć paru osób. Nikt jednak nie daje mu wiary. ",horror
old dogs,"Dotychczasowe życie dwóch biznesmenów u szczytu kariery ulega komplikacjom, gdy muszą zaopiekować się dwójką dzieci.",family
happy feet two,"Taneczna pasja Mambo zostaje zaakceptowana przez rozśpiewane stado. Teraz chciałby zarazić nią swego syna Erica, który nie okazuje w tej kwestii entuzjazmu, gdyż marzy o lataniu.",animation
marmaduke,Dog Marmaduke po przeprowadzce do Kaliforni stara się przypodobać miejscowym psom.&nbsp;,family
serce nie sluga,"Związki ludzi, którzy przestali wierzyć w miłość, choć w głębi duszy właśnie na takie prawdziwe uczucie czekają.",comedy
the house,"W tej czarnej komedii animowanej tajemniczy dom skrywa historie biednej rodziny, nerwowego dewelopera i&nbsp;sfrustrowanej właścicielki na&nbsp;przestrzeni dziejów.",animation
joy division,"Rok 1976, czterech chłopaków z Salford zakłada zespół Warsaw, przemianowany później na Joy Division. Po latach członkowie formacji i znajomi wspominają dawne czasy oraz przedwcześnie zmarłego lidera grupy, Iana Curtisa.",documentary
das cabinet des dr. caligari,"W niewielkim niemieckim mieście dochodzi do serii zagadkowych morderstw. Przyjaciel jednej z ofiar odkrywa, że za wszystkim może stać wędrowny hipnotyzer. ",horror
ready or not,Noc poślubna. Panna młoda zostaje zmuszona do udziału w przerażającej grze. ,horror
transformers: revenge of the fallen,"Autoboty po raz kolejny muszą stanąć do walki z Decepticonami, które chcą przejąć władzę nad Ziemią.",action
kochaj i rob co chcesz,Niedoszły artysta muzyki poważnej postanawia zrobić karierę w branży disco-polo.,comedy
my bosss daughter,Tom ma za zadanie zająć się domem szefa w czasie jego nieobecności.,comedy
fuck for forest,"Film o berlińskiej grupie Fuck for Forest, która, głosząc hasła wyzwolenia seksualnego, chce uratować świat, sprzedając własne amatorskie filmy porno.",documentary
brave,"Księżniczka Merida, by uniknąć zamążpójścia, wyrusza w podróż. Spotyka wiedźmę, która za odpowiednią opłatą obiecuje jej pomóc.",animation
the discovery,Dwa lata po odkryciu życia po śmierci Will postanawia pomóc kobiecie zerwać z jej mroczną przeszłością.,romance
the children of leningradsky,"Historia moskiewskich sierot, które tułają się po rosyjskim dworcu. Każdego dnia walczą o przetrwanie, licząc na czyjąś pomoc.&nbsp;",documentary
a united kingdom,"Książę Botswany, Seretse Khama, wywołuje międzynarodową sensację, gdy żeni się z białą, angielską kobietą.",drama
mickeys christmas carol,"Ebenezer Scrooge jest chciwym i bezdusznym bankierem, który całe życie poświęcił dla pieniędzy. W Wigilię skąpca odwiedzają trzy duchy.",animation
the fly,Naukowiec Seth Brundle wskutek nieudolnie przeprowadzonego eksperymentu zaczyna przemieniać się w człowieka-muchę. ,horror
rush hour 3,"Lee i Carter dostają zadanie wytropienia zamachowca, który chciał zabić ambasadora Chin.",action
dont look now,"John i Laura Baxterowie podczas wakacji w Wenecji spotykają dwie kobiety. Jedna z nich twierdzi, że widzi ducha ich zmarłej córki. ",horror
looking for richard,"Al Pacino przygotowuje się do wystawienia sztuki Williama Szekspira, w której sam gra główną rolę.",documentary
drillbit taylor,"Troje uczniów zatrudnia ochroniarza, aby chronił ich przed znęcającymi się nad nimi kolegami ze szkoły. ",comedy
rocketman,"Historia życia Eltona Johna ukazująca artystę od jego najmłodszych lat w Królewskiej Akademii Muzycznej po długoletnią współpracę z autorem tekstów, Berniem Taupinem.",biography
battle of the year,"Zbliża się coroczny turniej breakdance, na który zjeżdżają zespoły z całego świata. Chcąc wygrać, Dante prosi o pomoc byłego trenera koszykówki i razem werbują do swojej drużyny najlepszych b-boyów Ameryki. ",music
im still here, Reżyserski debiut Caseya Afflecka o muzycznych początkach oraz domniemanym końcu kariery filmowej jednego z czołowych aktorów Hollywood - Joaquina Phoenixa. W listopadzie... ,music
z for zachariah,"Niedaleka przyszłość. Gdy cała planeta zostaje poddana śmiertelnemu napromieniowaniu, dwoje nieznajomych podejmuje walkę, aby przeżyć. ",sci-fi
the woman in the window,Cierpiąca na agorafobię kobieta zaczyna szpiegować swoich nowych sąsiadów i staje się świadkiem aktu przemocy.,crime
elizabeth: the golden age,"Anglia, 1588 r. Królowa Elżbieta zmaga się z intrygami, zamachem na życie, Wielką Armadą oraz sercowymi rozterkami. ",biography
racing extinction,"Dokument przedstawia działalność człowieka, która prowadzi do upadku flory i fauny.",documentary
frozen ii,Elsa i Anna wraz z przyjaciółmi udają się do Zaczarowanego Lasu w poszukiwaniu pomocy dla swego Królestwa.,animation
kill list,"Bezrobotny żołnierz, który jest płatnym zabójcą, popada w coraz większe długi. Mężczyzna postanawia przyjąć ofertę pracy od przyjaciela.",crime
safe,"Były nowojorski gliniarz ratuje małą dziewczynkę z rąk gangsterów, którzy zmienili jego życie w koszmar.",crime
the big year,Dwóch ornitologów stara się pobić wyśrubowany rekord świata w corocznym konkursie na największą ilość zauważonych gatunków ptaków.,comedy
how to train your dragon,"Chuderlawy Wiking przewróci porządek w wiosce, kiedy zamiast zabić w ramach inicjacji jakiegoś smoka, zaprzyjaźni się z najgroźniejszym z nich.",animation
dd sn,Grupka studentów wyjeżdża na kilka dni w góry. Będą musieli się tam zmierzyć z bandą nazistowskich zombie.,horror
hans kloss. stawka wieksza niz smierc,"Hans Kloss, as polskiego wywiadu, wpada na trop skarbu zrabowanego przez nazistów. Starając się go zdobyć, stawia czoło swojemu odwiecznemu wrogowi Brunnerowi.",thriller
assassins creed,"Dzięki przełomowej technologii Callum Lynch doświadcza przygód swojego przodka, asasyna Aguilara, żyjącego w XV-wiecznej Hiszpanii. Wkrótce podejmuje walkę z potężnymi templariuszami. ",adventure
[rec]3 genesis,Podczas weselnego przyjęcia jeden z gości przemienia się w krwiożercze monstrum i rozprzestrzenia zarazę na pozostałych uczestników zabawy. ,horror
pavarotti,"Dokument przedstawiający życie wybitnego śpiewaka operowego, który sławą przyćmił niejedną gwiazdę rocka. ",documentary
wiezi,Przeżywające kryzys małżeństwo z wieloletnim stażem usiłuje ratować swój związek. ,documentary
downton abbey,W Downton Abbey trwają przygotowania do wizyty królewskiej. ,drama
wolf creek,Podczas wyprawy bezdrożami Australii do największego krateru grupie przyjaciół odmawia posłuszeństwa samochód. Bezsilni cieszą się na widok mężczyzny oferującego pomoc.,horror
onward,"Dwóch braci próbuje sprowadzić na ziemię drugą połowę ciała swojego ojca, gdyż nieudane czary powodują, że pojawia się tylko od pasa w dół. ",animation
forbidden planet,"Wysłana na planetę Altair ekspedycja odnajduje zaginionego doktora i jego córkę, jedynych ocalałych członków załogi statku ""Bellerofont"". Naukowiec skrywa jednak groźny sekret.",sci-fi
the hole in the ground,"Sarah przeprowadza się ze swoim synkiem do domu na wsi. Pewnej nocy Chris znika, a kiedy się odnajduje, kobieta zaczyna podejrzewać, że chłopiec, który wrócił, może wcale nie być jej synem. ",horror
the dry,"Agent federalny Aaron Falk wraca do ogarniętego suszą rodzinnego miasta, aby wziąć udział w pogrzebie przyjaciela z dzieciństwa. Niewyjaśniona śmierć krewnych zmarłego sprawia, że postanawia rozpocząć śledztwo. ",crime
down periscope,Komandor Tom Dodge zostaje dowódcą okrętu podwodnego podczas gry wojennej. Wraz z załogą nieudaczników ma zniszczyć strategiczny cel.,comedy
the war with grandpa,"Peter zmuszony jest dzielić swoją sypialnię z Dziadkiem, który wprowadza się do jego domu po śmierci żony. Chłopak postanawia zrobić wszystko by się go pozbyć.",family
fair game," Film „Fair Game” to dramat oparty na biografii Valerie Plame Wilson (Naomi Watts), byłej tajnej agentki CIA. W lipcu 2003 roku mąż Valerie, ambasador Joseph Wilson, na... ",biography
cave of forgotten dreams,"Dokument opowiada o&nbsp;jaskini Chauveta&nbsp;w południowej&nbsp;Francji, w której latem 1994 roku odkryto prehistoryczne malowidła sprzed ponad 30 tys. lat.",documentary
shrek,"By odzyskać swój dom, brzydki ogr z gadatliwym osłem wyruszają uwolnić piękną księżniczkę.",animation
smaragdgrun,"Gwendolyna Shepherd po ostatnich przeżyciach ma problemy osobiste. Pytanie, czy dalej powinna walczyć, czy odpóścić, nie jest jej jedynym problemem. ",fantasy
julieta,"Przypadkowe spotkanie sprawia, że matka próbuje nawiązać kontakt z córką, której nie widziała od lat.",drama
wszystko na sprzedaz, W czasie realizacji filmu nie zjawia się na planie aktor kreujący główną rolę. Karkołomny skok do pociągu wykonuje za niego reżyser. Ela (Elżbieta Czyżewska) - żona... ,drama
constantine,"Adaptacja komiksu ""Hellblazer"" opowiadająca historię Johna Constantine'a - egzorcysty, który musi stanąć do walki o dusze wszystkich ludzi, by tym samym ocalić siebie od wiecznego potępienia. ",fantasy
mona lisa smile,"Rok 1953. Nauczycielka historii sztuki stara się wyzwolić swoje uczennice, pokazując im, że życie nie kończy się na małżeństwie i dzieciach. ",drama
red sonja,"Wojowniczka Sonja pragnie pomścić masakrę swojego ludu, której sprawczynią jest zła królowa Gedren. ",fantasy
chef,Po utracie posady w renomowanej restauracji mistrz kulinarny otwiera mobilny bar szybkiej obsługi.,comedy
naked lunch,"Bill Lee jest dezynsektatorem, który przez przypadek zabija swoją żonę uzależnioną od środka owadobójczego. Po tym zdarzeniu mężczyzna zatraca się w nałogu narkotykowym, mając przedziwne wizje.",thriller
i still know what you did last summer,"Grupa nastolatków musi stawić czoła maniakalnemu zabójcy, który ""nadal wie co zrobili zeszłego lata"". ",horror
drive me crazy," Nastoletnia Nicole i jej rówieśnik Chase są sąsiadami, ale nie mają ze sobą wiele wspólnego. Nicole interesuje się modą i sportem, natomiast Chase jest spokojnym... ",drama
halo 4: forward unto dawn,"Przyszłość, rok 2525. Młody żołnierz Thomas konfrontuje się z obcymi, aby ocalić ludzkość. ",action
super size me,Morgan Spurlock postanawia przez miesiąc odżywiać się wyłącznie w restauracjach McDonald's i ograniczyć ruch - jak przeciętny Amerykanin. ,documentary
terminator salvation,Rok 2018. Przyszły przywódca ruchu oporu John Connor walczy ze Skynetem. Nieoczekiwanie w jego życiu pojawia się tajemniczy Marcus Wright. ,action
friday the 13th,Grupa znajomych wybiera się do domu nad jeziorem Crystal Lake. Podczas weekendu zostają zaatakowani przez psychopatę.,horror
mortal kombat: annihilation,Ziemia zostaje zaatakowana przez siły ciemności. Grupa mistrzów wschodnich sztuk walki usiłuje zapobiec katastrofie. ,fantasy
the ladykillers,"Pięciu nieudolnych złodziei, podających się za muzyków, odbywa próby w piwnicy domu starszej pani. Planują zrobić podkop do pobliskiego kasyna i je obrabować.",comedy
cowspiracy: the sustainability secret,"Dokument przedstawia wpływ hodowli przemysłowych na środowisko naturalne, jednocześnie poszukując realnych rozwiązań ratowania planety i odnalezienia odpowiedniej drogi do zrównoważonego rozwoju.",documentary
when we first met,"Noah otrzymuje szansę powrotu do przeszłości, aby zdobyć wymarzoną dziewczynę. ",comedy
stalker,"Stalker wraz z dwoma klientami podróżuje przez Zonę do tajemniczej komnaty, gdzie ponoć spełniają się marzenia. ",sci-fi
force 10 from navarone,"Oddział komandosów zostaje wysłany do Jugosławii w celu wysadzenia mostu. Od powodzenia misji zależy los wojsk partyzanckich Tito, które są okrążone przez nazistów.",war
cutthroat island,"Piratka, Morgan Adams, i jej załoga poszukują skarbu ukrytego na nieznanej wyspie. Prowadzi do niego mapa, której odszyfrowania podejmuje się William Shaw.",adventure
starship troopers,"Grupa szkolnych przyjaciół wstępuje do armii, co gwarantuje im obywatelstwo i różne przywileje. Wkrótce stawiają czoła najeźdźcom z kosmosu, olbrzymim pajęczakom. ",action
ladyhawke,"Zawistny biskup Aquili rzuca klątwę na Isabeau i jej ukochanego, kapitana Navarre'a. Parze próbuje pomóc złodziej uratowany przez rycerza.",fantasy
far from heaven,"Cathy i Frank wiodą sielankowe życie. Wszystko się zmienia, gdy wychodzi na jaw, że mężczyzna jest gejem.&nbsp;",romance
eragon,"Siedemnastoletni Eragon znajduje tajemnicze jajo, z którego wykluwa się smok. Chłopak staje się jego jeźdźcem.&nbsp;",family
everyone says i love you,"Po podsłuchaniu rozmowy atrakcyjnej Von z psychiatrą, młoda dziewczyna przekazuje ojcu rady, jak mógłby zdobyć tę kobietę.",musical
seaspiracy,"Film dokumentalny ""Ciemne strony rybołówstwa"" analizuje funkcjonowanie globalnej branży rybnej, kwestionując koncepcję zrównoważonego rybołówstwa i&nbsp;pokazując, jak ludzie nieodwracalnie niszczą środowisko.",documentary
madagascar 3: europes most wanted," Lew, hipopotam, zebra i żyrafa starają się wrócić do Nowego Jorku przemierzając Europę w przebraniu cyrkowców.",animation
nightwatching," Akcja filmu rozpoczyna się w 1642, w roku w którym Rembrandt przyjmuje zamówienie na grupowy portret amsterdamskiej kompanii strzeleckiej. Obraz ten nazwany ""Straż... ",biography
v/h/s/2,Wynajęci do odnalezienia zaginionego studenta detektywi odnajdują w jego domu makabryczne nagrania wideo.,horror
waitress,"Nieszanowana przez męża kelnerka spotyka atrakcyjnego lekarza, który otacza ją opieką.",drama
the good son,"Po stracie matki dwunastoletni Mark przyjeżdża do domu stryja, gdzie zauważa, że jego kuzyn jest śmiertelnie&nbsp;niebezpieczny.",thriller
in cold blood,"Dwaj recydywiści dokonują napadu rabunkowego, w trakcie którego brutalnie mordują czteroosobową rodzinę. ",crime
the art of flight," Dokument obrazuje ekstremalne oblicze snowboardu. Niesamowite triki wykonywane poza oficjalnymi szlakami, zjazdy z dziewiczych stoków, ukazanie ekstremalnych ewolucji -... ",documentary
mistyfikacja,"Wydalony z uczelni student prowadzi śledztwo mające udowodnić, że samobójstwo Witkacego było upozorowane i artysta wciąż żyje. ",crime
the nightmare before christmas,"Dyniowy Król, znudzony rutyną obchodów Halloween, postanawia porwać Świętego Mikołaja i zająć jego miejsce.",animation
x-men: days of future past,"Bezlitośnie tropieni przez Strażników mutanci wysyłają Wolverina do 1973 roku. Aby próba zmiany historii się powiodła, skonfrontowani ze sobą młodzi Charles Xavier i Magneto muszą nawiązać współpracę. ",action
wrongfully accused,"Sławny skrzypek Ryan Harrison zostaje skazany na śmierć za morderstwo. Nikt mu nie wierzy, że mordercą jest ktoś inny. ",comedy
official secrets,"Pracowniczka rządowej agencji GCHQ odkrywa, że Wielka Brytania i USA podsłuchują członków ONZ, celem przegłosowania rezolucji ws. Iraku.",biography
magiczne drzewo,"Trójka rodzeństwa znajduje krzesło spełniające życzenia. Korzystając z właściwości przedmiotu, dzieci rozpoczynają poszukiwania swoich rodziców. ",fantasy
proceder,"Historia Tomasza Chady - rapera, który ginie niespodziewanie w 2018 roku. Śmierć muzyka szokuje wszystkich wokół. ",biography
youth without youth," Bukareszt, 1938 rok. Nad miastem szaleje burza. W pewnego starszego człowieka uderza piorun. To profesor Dominik Matei. Udaje mu się przeżyć. Co więcej, mężczyzna... ",fantasy
mr. &amp; mrs. smith,Para płatnych zabójców pracujących dla dwóch tajnych agencji wiedzie monotonne małżeńskie życie. Niespodziewanie dostają zlecenie na siebie nawzajem.,action
for the birds,Duży ptak szuka akceptacji wśród mniejszych kolegów.,animation
the art of war,Ambasador Chin ginie przed podpisaniem ważnej umowy handlowej z resztą świata. W jego morderstwo zostaje wrobiony dowódca jednostki specjalnej ONZ.,thriller
dumbo,"Dumbo to mały słonik o nienaturalnie wielkich uszach, który przy pomocy zaprzyjaźnionej myszki uczy się wiary w siebie.",animation
earth,"Dokument ten jest podróżą od bieguna północnego do południowego, śladami czterech wielkich zwierząt.",documentary
the mirror has two faces,"Przystojny profesor matematyki poślubia nieatrakcyjną Rose, która wykłada na uniwersytecie literaturę angielską. ",romance
lying and stealing," Zadłużona aktorka oraz złodziej sztuki łączą siły, żeby dokonać śmiałej kradzieży i uwolnić się od kłopotów.&nbsp; ",crime
career opportunities,"Jim podejmuje pracę nocnego sprzątacza w domu towarowym. Przypadkowo spotyka dziewczynę swoich marzeń, Josie.",comedy
fallen,"Po traumatycznych przeżyciach Lucinda trafia do szkoły z internatem, gdzie poznaje dwóch nietypowych mężczyzn.",fantasy
gin gwai,"Młoda, niewidoma skrzypaczka po przeszczepie rogówki zaczyna dostrzegać dziwne istoty.",horror
the treasure of the sierra madre,"Trzech mężczyzn wyrusza w góry Sierra Madre, aby odnaleźć złoto.",drama
teenage mutant ninja turtles: out of the shadows,Czterej wojownicy muszą się zmierzyć z cieszącym się bardzo złą sławą Krangiem. ,comedy
bombshell,"Historia kobiet, które przeciwstawiły się toksycznej atmosferze w słynnej sieci informacyjnej.",biography
dredd,"Miasto przyszłości. Władzę absolutną sprawują w nim sędziowie. Wśród nich jest Sędzia Dredd, który staje do walki z dilerami zabójczego narkotyku.",action
life,"Członkowie międzynarodowej wyprawy kosmicznej odkrywają ślady życia na Marsie. Nie wiedzą, że grozi im śmiertelne niebezpieczeństwo. ",thriller
the i inside,"Simon po przebudzeniu odkrywa, że może przemieszczać się w czasie.",crime
miasto ruin," Wiosna, rok 1945. Liberator zmniejsza pułap lotu, poniżej warstwy chmur. Leci na&nbsp;północ wzdłuż Wisły, aby chwilę później znaleźć się nad rejonem niedawnych... ",animation
gone in sixty seconds,"By uratować brata, legendarny złodziej samochodów musi w tydzień dostarczyć mafii 50 luksusowych aut.",thriller
franklyn," Dwie historie rozgrywają się równolegle we współczesnym Londynie i w mrocznej metropolii przyszłości, w której władzę sprawują religijni fanatycy. Zamaskowany detektyw... ",drama
war photographer," Film dokumentalny poświęcony fotografowi wojennemu James'owi Nachtwey, człowiekowi uznawanego przez wielu za najlepszego w dziedzinie fotografii wojennej. Dzięki tej... ",documentary
happily never after,"Podczas nieobecności czarodzieja Munk i Mambo stają się odpowiedzialni za dobre zakończenie bajek. Gdy popełniają błąd, siły zła próbują przejąć władzę nad Światem Baśni. ",animation
nasza klatwa,"Historia reżysera i jego żony, którzy mierzą się z poważną chorobą swojego dziecka.",documentary
oscar,"Gangster Angelo Provolone przyrzeka swojemu umierającemu ojcu, że rozpocznie uczciwe życie. ",comedy
puss in boots,"Kot w Butach wraz z kompanami organizuje skok, mający na celu znalezienie i porwanie mitycznej gęsi znoszącej złote jaja.",animation
at eternitys gate,"Malarz&nbsp;Vincent van Gogh przenosi się do niewielkiego miasteczka&nbsp;Arles w Prowansji, gdzie pracuje nad własnym stylem. Nie znajduje jednak zrozumienia wśród mieszkańców.",biography
under siege,"Terroryści opanowują statek z bronią jądrową. Ich plany niweczy kucharz okrętowy, były komandos Ryback.",thriller
tre metri sopra il cielo," Babi (Katy Louise Saunders), dziewczyna z tak zwanego dobrego domu, świetna uczennica i przykładna córka, poznaje Stepa (Riccardo Scamarcio), agresywnego chuligana,... ",drama
zero,"W świecie, gdzie ludzi określa nadany im numer, samotny i prześladowany przez rówieśników Zero poszukuje przyjaciół. ",animation
psy ii: ostatnia krew,Franz Maurer po wyjściu z więzienia przystaje do grupy zajmującej się nielegalnym handlem bronią. ,thriller
underworld: evolution,Selena i Michael ukrywają się przed polującymi na nich wampirami oraz wilkołakami. ,horror
the zookeepers wife,"Opiekunowie warszawskiego zoo, państwo Żabińscy, próbują ocalić setki ludzi i zwierząt podczas niemieckiej okupacji. ",biography
casino royale,"Po otrzymaniu statusu agenta 00 James Bond dostaje pierwsze ważne zadanie, w którym pomóc ma mu piękna Vesper Lynd. Jego przeciwnikiem jest bankier terrorystów Le Chiffre.",thriller
sep,Sęp – policjant o wyjątkowych zdolnościach dedukcyjnych – dostaje zlecenie poprowadzenia dochodzenia w sprawie znikających przestępców. ,crime
chloe,"Zazdrosna kobieta wynajmuje młodziutką call-girl, by sprawdzić lojalność swego męża.",thriller
reminiscence,"Nick Bannister, samotny weteran mieszkający w Miami, oferuje klientom możliwość ponownego przeżycia każdego wspomnienia, jakiego zapragną. Jego życie zmienia się, gdy poznaje Mae.",thriller
zaklete rewiry,Młody chłopak ze wsi rozpoczyna pracę jako pomywacz w restauracji. Szybko awansuje i przechodzi kolejne szczeble kariery. ,drama
big trouble in little china,Kierowca ciężarówki oraz jego przyjaciel z Chinatown zostają wplątani w walkę między siłami dobra i zła.,fantasy
tsotsi,Młody afrykański gangster kradnie samochód i ku swojemu zaskoczeniu odkrywa na tylnym siedzeniu niemowlę.,drama
the mummy: tomb of the dragon emperor,Na Dalekim Wschodzie rodzina O'Connellów próbuje powstrzymać wskrzeszonego cesarza Hana i jego armię terakotowych wojowników przed zawładnięciem światem.,fantasy
berlin syndrome,"Australijska fotoreporterka poznaje tajemniczego mężczyznę, z którym spędza noc. Następnego dnia kobieta odkrywa, że jest uwięziona w jego mieszkaniu. ",thriller
star wars: episode v - the empire strikes back,"Imperator rozkazuje swojemu uczniowi Darthowi Vaderowi odnalezienie Luke'a Skywalkera, by zmusić go do przejścia na ciemną stronę Mocy.",adventure
thor: ragnarok,"Thor mierzy się w walce bogów, podczas gdy Asgard jest zagrożony Ragnarokiem, nordycką apokalipsą. ",fantasy
dragon ball z: gekitotsu!! hyaku oku power no senshi-tachi,Dande wraz z siłami specjalnymi walczy o Nowe Namek.,adventure
volta,"Przebiegły Volta zrobi wszystko, by zdobyć drogocenne znalezisko. ",comedy
lords of chaos,"Lider norweskiego zespołu black metalowego, zasłaniając się sztuką, zaczyna przekraczać kolejne granice.",biography
terminator 3: rise of the machines,"T-800 zostaje wysłany w przeszłość, by chronić Johna Connora i jego przyjaciółkę Kate Brewster. Ich przeciwnikiem jest cyborg T-X. ",action
i confess,Kościelny dozorca spowiada się z popełnionego zabójstwa. Wskutek zbiegu okoliczności duchowny zostaje głównym podejrzanym zbrodni. ,thriller
the messengers,"Kiedy rodzina Solomonów przeprowadza się na farmę, dzieci zaczynają dostrzegać dziwne zjawiska. ",horror
jackass 3d," 3 razy śmieszniej, 3 razy głupiej, 3 razy boleśniej. Chłopaki z ""Jackass"" wracają z najdzikszą dawką wariactw w historii! Pękniesz ze śmiechu patrząc jak Johnny Knoxville... ",documentary
